image_filename,caption
20240903-bnpparibas-csr-presentation-2024_page27_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page16_img7.jpeg,a graph shows the percentage of the number of people who are using the internet
20240903-bnpparibas-csr-presentation-2024_page27_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img33.png,a black background with a white and red flower
bnp_paribas_2023_climate_report_page19_img4.png,rest the world deved ratio
climate-change-and-the-banking-industry_page10_img1.png,thomson ' s logo
20240903-bnpparibas-csr-presentation-2024_page11_img20.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page24_img2.png,bnparaisal com logo
bnp_paribas_2023_climate_report_page18_img4.png,"a square with the words, ' beum below '"
20240903-bnpparibas-csr-presentation-2024_page10_img43.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page22_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img21.png,a black background with a white and red flower
bnp_paribas_2023_climate_report_page1_img1.jpeg,the logo for the greenpeak
20240903-bnpparibas-csr-presentation-2024_page13_img7.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page4_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page9_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img10.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page7_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page18_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img31.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img37.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img26.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page12_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page3_img7.png,a green background with a white border
What-contribution-do-banks-make-to-the-ecological-transition_page35_img1.jpeg,a man in a suit and tie standing in front of a bush
20240903-bnpparibas-csr-presentation-2024_page26_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img17.png,the logo for the green and blue logo
as_101_climate_risk_banks_en_page25_img1.jpeg,a map showing the number of people in france
as_101_climate_risk_banks_en_page24_img1.png,a graph showing the number of different types of the global economy
20240903-bnpparibas-csr-presentation-2024_page10_img23.png,a black background with a white border
as_101_climate_risk_banks_en_page30_img1.png,a graph with the number of different types of the fossil
20240903-bnpparibas-csr-presentation-2024_page23_img5.png,a green background with a white border
eib-group-2022-climate-bank-roadmap-progress-report_page17_img1.png,a graph showing the number of different types of the different types of the different types of the different types
bnp_paribas_2023_climate_report_page5_img1.jpeg,a painting of a bike on a city street
20240903-bnpparibas-csr-presentation-2024_page10_img11.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img8.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img14.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img41.png,a green background with a white border
as_101_climate_risk_banks_en_page15_img1.jpeg,a graph shows the number of people who are using the internet
as_101_climate_risk_banks_en_page33_img1.png,a diagram showing the different types of the different processes
20240903-bnpparibas-csr-presentation-2024_page24_img5.png,the flag of uruguay
20240903-bnpparibas-csr-presentation-2024_page11_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page26_img11.png,a green pixel on a black background
20240903-bnpparibas-csr-presentation-2024_page3_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page6_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page26_img14.png,sustainability academy logo
20240903-bnpparibas-csr-presentation-2024_page4_img7.jpeg,the ifr awards logo
20240903-bnpparibas-csr-presentation-2024_page10_img47.png,a green background with a white border
as_101_climate_risk_banks_en_page36_img1.jpeg,a dark blue and green abstract background
20240903-bnpparibas-csr-presentation-2024_page10_img20.png,a black background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img34.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page3_img8.jpeg,the flag of pakistan
bnp_paribas_2023_climate_report_page15_img1.jpeg,a watercolor painting of a cityscaing
20240903-bnpparibas-csr-presentation-2024_page24_img1.png,a black and white image of a black and white image of a black and white image of a black and
bnp_paribas_2023_climate_report_page10_img1.jpeg,a watercolor painting of a city skyline
bnp_paribas_2023_climate_report_page17_img3.jpeg,the world ' s most social sites
20240903-bnpparibas-csr-presentation-2024_page11_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img44.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img19.png,the logo for the airline
20240903-bnpparibas-csr-presentation-2024_page12_img5.png,the logo for the color wheel
bnp_paribas_2023_climate_report_page18_img5.png,a diagram showing the different levels of the different levels of the building
bnp_paribas_2023_climate_report_page36_img2.jpeg,a mountain covered in snow
bnp_paribas_2023_climate_report_page18_img3.png,"a square with the words face, elevation and elevation"
bnp_paribas_2023_climate_report_page2_img1.jpeg,a watercolor painting of icebergs in the arctic
20240903-bnpparibas-csr-presentation-2024_page10_img25.png,a black background with a white border
20240903-bnpparibas-csr-presentation-2024_page9_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page3_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page5_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img39.png,a black background with a white and red flower
bnp_paribas_2023_climate_report_page10_img2.jpeg,a map of europe with the countries and their major cities
20240903-bnpparibas-csr-presentation-2024_page3_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page16_img3.png,a green background with a white border
bnp_paribas_2023_climate_report_page19_img2.png,"a square with the words us, dystach and a red square with the words us dystach"
20240903-bnpparibas-csr-presentation-2024_page10_img42.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page22_img1.png,a black and white image of a black and white image of a black and white image of a black and
bnp_paribas_2023_climate_report_page17_img2.jpeg,the evolution of the internet
20240903-bnpparibas-csr-presentation-2024_page15_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page19_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page2_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page11_img23.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page13_img4.png,a circle of colored paint
bnp_paribas_2023_climate_report_page19_img1.png,a square with the same color scheme
20240903-bnpparibas-csr-presentation-2024_page10_img36.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page13_img6.png,a green background with a white border
bnp_paribas_2023_climate_report_page1_img2.jpeg,a tree in the middle of a field
20240903-bnpparibas-csr-presentation-2024_page10_img4.png,a green background with a white border
eib-group-2022-climate-bank-roadmap-progress-report_page28_img1.png,a table with four different types of the different types of the business
20240903-bnpparibas-csr-presentation-2024_page10_img15.png,a green background with a white border
ssm.202011finalguideonclimate-relatedandenvironmentalrisks~58213f6564.fr_page1_img1.jpeg,banking supervision
20240903-bnpparibas-csr-presentation-2024_page11_img17.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page23_img4.png,a green background with a white border
bnp_paribas_2023_climate_report_page26_img1.jpeg,a watercolor painting of a cityscaing
20240903-bnpparibas-csr-presentation-2024_page10_img44.png,a black background with a white and red flower
bnp_paribas_2023_climate_report_page13_img2.jpeg,a watercolor painting of a nuclear plant
20240903-bnpparibas-csr-presentation-2024_page7_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page26_img15.png,the logo for the band
20240903-bnpparibas-csr-presentation-2024_page11_img22.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img38.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img24.png,a black background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img9.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page13_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page13_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page12_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page21_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img32.png,a blue background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img29.png,a white and black logo with the letter q
20240903-bnpparibas-csr-presentation-2024_page29_img3.jpeg,the meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor
20240903-bnpparibas-csr-presentation-2024_page17_img3.png,a bar chart showing the percentage of oil prices
as_101_climate_risk_banks_en_page1_img1.jpeg,a city with skyscrapers and grass in the fore
20240903-bnpparibas-csr-presentation-2024_page17_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page28_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page17_img7.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img5.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img11.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page20_img1.png,a black and white image of a black and white image of a black and white image of a black and
bnp_paribas_2023_climate_report_page2_img3.jpeg,a watercolor painting of a nuclear plant at sunset
20240903-bnpparibas-csr-presentation-2024_page6_img3.png,a green background with a white border
What-contribution-do-banks-make-to-the-ecological-transition_page26_img1.jpeg,a hand holding a graph graph
20240903-bnpparibas-csr-presentation-2024_page13_img3.png,the logo for the color wheel
as_101_climate_risk_banks_en_page21_img1.png,a graph showing the number of different types of the different species
20240903-bnpparibas-csr-presentation-2024_page11_img42.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page28_img6.jpeg,a woman with short hair and a black top smiles at the camera
20240903-bnpparibas-csr-presentation-2024_page11_img30.png,a blue background with a white border
20240903-bnpparibas-csr-presentation-2024_page5_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page26_img3.png,people strategy for 25
20240903-bnpparibas-csr-presentation-2024_page26_img8.png,the logo for the usgs
20240903-bnpparibas-csr-presentation-2024_page1_img4.png,the logo for the bnparas
20240903-bnpparibas-csr-presentation-2024_page20_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page5_img3.png,the logo for the color wheel
20240903-bnpparibas-csr-presentation-2024_page12_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page4_img5.jpeg,the logo for the 2014 euro money awards
20240903-bnpparibas-csr-presentation-2024_page27_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page28_img5.jpeg,a woman in a suit and red shirt
What-contribution-do-banks-make-to-the-ecological-transition_page14_img1.png,a man and woman standing next to each other people
20240903-bnpparibas-csr-presentation-2024_page3_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page10_img35.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img7.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page28_img7.jpeg,a man in a suit and tie with his chin resting on his chin
20240903-bnpparibas-csr-presentation-2024_page22_img4.png,a circle of colored paint
20240903-bnpparibas-csr-presentation-2024_page16_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page10_img30.png,a white icon of a person sitting on a chair
20240903-bnpparibas-csr-presentation-2024_page20_img8.jpeg,europe ' s regional regionals
20240903-bnpparibas-csr-presentation-2024_page10_img9.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page14_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page4_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page2_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page1_img3.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page28_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page10_img26.png,a black background with a white border
20240903-bnpparibas-csr-presentation-2024_page4_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page26_img7.png,a green speech bubble with a black background
20240903-bnpparibas-csr-presentation-2024_page26_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page23_img2.png,bnparaisal com logo
eib-group-2022-climate-bank-roadmap-progress-report_page17_img2.png,a table with a number of different numbers
20240903-bnpparibas-csr-presentation-2024_page10_img14.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img10.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page8_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page28_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page16_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page20_img7.png,the world ' s largest renewable companies
20240903-bnpparibas-csr-presentation-2024_page19_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page9_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page8_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page18_img7.png,a line graph shows the number of americans who have been in the past
bnp_paribas_2023_climate_report_page6_img1.jpeg,a watercolor painting of a mountain
20240903-bnpparibas-csr-presentation-2024_page11_img39.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img33.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page15_img1.png,a black and white image of a black and white image of a black and white image of a black and
as_101_climate_risk_banks_en_page43_img1.jpeg,a dark blue and green abstract background
20240903-bnpparibas-csr-presentation-2024_page19_img3.png,the table of the day ' s standingss
20240903-bnpparibas-csr-presentation-2024_page6_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page11_img13.png,a black background with a white and red flower
as_101_climate_risk_banks_en_page28_img1.png,a bar chart showing the percentage of the number of people who have been in the us election
as_101_climate_risk_banks_en_page16_img1.png,a pie chart with the percentage of the total and total of the total energy consumption
20240903-bnpparibas-csr-presentation-2024_page18_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page11_img19.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page23_img7.jpeg,a group of young men laughing and laughing
20240903-bnpparibas-csr-presentation-2024_page28_img8.jpeg,a man in a suit and tie with a green background
20240903-bnpparibas-csr-presentation-2024_page18_img5.png,a green background with a white border
bnp_paribas_2023_climate_report_page8_img1.jpeg,a water fall in the middle of a lake
20240903-bnpparibas-csr-presentation-2024_page3_img3.jpeg,"the cover of the book, ' climate report '"
20240903-bnpparibas-csr-presentation-2024_page11_img38.png,a blue background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img28.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page2_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page10_img6.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img45.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img4.png,a green background with a white border
bnp_paribas_2023_climate_report_page18_img1.png,a red and orange square with the words ' rest europe '
20240903-bnpparibas-csr-presentation-2024_page13_img2.png,bnparaisal com logo
as_101_climate_risk_banks_en_page14_img1.jpeg,a map of the world with a blue and white map
20240903-bnpparibas-csr-presentation-2024_page11_img29.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page22_img3.png,the logo for the color wheel
bnp_paribas_2023_climate_report_page11_img1.jpeg,watercolor painting of amsterdam canal
20240903-bnpparibas-csr-presentation-2024_page23_img3.jpeg,the view from the air of a lake surrounded by trees
20240903-bnpparibas-csr-presentation-2024_page24_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img24.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page18_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img45.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page21_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page9_img2.png,bnparaisal com logo
as_101_climate_risk_banks_en_page13_img1.jpeg,the different stages of the earth ' s climate
20240903-bnpparibas-csr-presentation-2024_page8_img3.png,a green background with a white border
bnp_paribas_2023_climate_report_page2_img4.jpeg,a water dam in the middle of a lake
20240903-bnpparibas-csr-presentation-2024_page21_img4.png,a green background with a white border
bnp_paribas_2023_climate_report_page17_img1.jpeg,a diagram showing the different types of the plant
20240903-bnpparibas-csr-presentation-2024_page14_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page25_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page26_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page18_img1.png,a black and white image of a black and white image of a black and white image of a black and
What-contribution-do-banks-make-to-the-ecological-transition_page8_img1.jpeg,a man in a white shirt and tie is holding a cell
20240903-bnpparibas-csr-presentation-2024_page27_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img40.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page25_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img8.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img32.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page15_img5.png,a green background with a white border
eib-group-2022-climate-bank-roadmap-progress-report_page16_img1.png,a plot of the number of different species in the same species
20240903-bnpparibas-csr-presentation-2024_page24_img6.png,the northvalt logo
20240903-bnpparibas-csr-presentation-2024_page20_img4.png,a green background with a white border
bnp_paribas_2023_climate_report_page13_img1.jpeg,a watercolor painting of a crane in the city
20240903-bnpparibas-csr-presentation-2024_page26_img12.png,google logo
20240903-bnpparibas-csr-presentation-2024_page8_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page19_img2.png,bnparaisal com logo
as_101_climate_risk_banks_en_page8_img1.jpeg,a dark blue and green abstract background
bnp_paribas_2023_climate_report_page18_img8.png,a red square with the words rest of europe
20240903-bnpparibas-csr-presentation-2024_page27_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page24_img4.png,the logo for the new dg
20240903-bnpparibas-csr-presentation-2024_page1_img1.jpeg,the meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor
20240903-bnpparibas-csr-presentation-2024_page28_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page9_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page11_img36.png,a bright orange color with a white background
20240903-bnpparibas-csr-presentation-2024_page11_img43.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page26_img16.png,the logo for the dhoi certification program
bnp_paribas_2023_climate_report_page29_img1.jpeg,a painting of a high voltage power line
bnp_paribas_2023_climate_report_page18_img7.png,"a red and orange square with the words, ' daily '"
20240903-bnpparibas-csr-presentation-2024_page4_img4.png,global logo
20240903-bnpparibas-csr-presentation-2024_page10_img7.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page22_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page21_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page5_img2.png,bnparaisal com logo
bnp_paribas_2023_climate_report_page3_img2.jpeg,watercolor painting of iceberg in the arctic ocean
bnp_paribas_2023_climate_report_page19_img3.png,rest of the world below 2c
20240903-bnpparibas-csr-presentation-2024_page23_img6.jpeg,a metal sculpture with a large number of gears
bnp_paribas_2023_climate_report_page24_img1.jpeg,a tree with no leaves
bnp_paribas_2023_climate_report_page36_img1.jpeg,the logo for the greenpeak
as_101_climate_risk_banks_en_page29_img1.png,a graph with the number of the number of the number of the number of the number of the number of
20240903-bnpparibas-csr-presentation-2024_page10_img18.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page5_img7.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page8_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page17_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page2_img5.jpeg,the sun shines over the mountains in meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor
ssm.202011finalguideonclimate-relatedandenvironmentalrisks~58213f6564.fr_page55_img1.png,a table with the four stages of the french language
20240903-bnpparibas-csr-presentation-2024_page11_img18.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page27_img4.png,a green background with a white border
bnp_paribas_2023_climate_report_page25_img1.jpeg,a line of tall grass
20240903-bnpparibas-csr-presentation-2024_page20_img3.png,a green background with a white border
bnp_paribas_2023_climate_report_page4_img1.jpeg,a painting of wind turbines in a field
20240903-bnpparibas-csr-presentation-2024_page10_img22.png,a black background with a white border
20240903-bnpparibas-csr-presentation-2024_page24_img7.png,aeet logo
20240903-bnpparibas-csr-presentation-2024_page29_img5.png,bnparas logo
20240903-bnpparibas-csr-presentation-2024_page11_img6.png,a black background with a white and red flower
bnp_paribas_2023_climate_report_page18_img6.png,"a square with the text, ' it ' s okay '"
20240903-bnpparibas-csr-presentation-2024_page17_img2.png,bnparaisal com logo
bnp_paribas_2023_climate_report_page3_img1.png,the logo for the color wheel
20240903-bnpparibas-csr-presentation-2024_page12_img4.jpeg,the monasteries monasteries in meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor
20240903-bnpparibas-csr-presentation-2024_page25_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page29_img4.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img27.png,a black background with a white border
20240903-bnpparibas-csr-presentation-2024_page20_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page26_img10.png,top employer europe 2020
20240903-bnpparibas-csr-presentation-2024_page29_img1.png,a black and white image of a black and white image of a black and white image of a black and
as_101_climate_risk_banks_en_page15_img2.png,"china, china, india, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, japan, and australia, and australia, and australia"
20240903-bnpparibas-csr-presentation-2024_page10_img28.png,a black background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img40.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img21.png,a black background with a white border
bnp_paribas_2023_climate_report_page21_img1.jpeg,a factory with smoke coming from it ' s chimney
20240903-bnpparibas-csr-presentation-2024_page16_img6.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img16.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page18_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page29_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page7_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page16_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page11_img27.png,a bright orange color with a white background
20240903-bnpparibas-csr-presentation-2024_page11_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page17_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page15_img4.png,a green background with a white border
bnp_paribas_2023_climate_report_page18_img2.png,a square with the words prince and prince
What-contribution-do-banks-make-to-the-ecological-transition_page18_img1.jpeg,a man and woman sitting at a table with laptops
20240903-bnpparibas-csr-presentation-2024_page19_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page10_img41.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page20_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img12.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img35.png,a bright orange color with a white background
20240903-bnpparibas-csr-presentation-2024_page3_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page4_img6.png,a graph showing the number of different types of the internet
20240903-bnpparibas-csr-presentation-2024_page26_img9.jpeg,top employer 2020 - top employer
20240903-bnpparibas-csr-presentation-2024_page5_img5.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page15_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page26_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page23_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page5_img4.png,a circle of colored paint
climate-change-and-the-banking-industry_page1_img1.png,thomson ' s logo
20240903-bnpparibas-csr-presentation-2024_page10_img46.png,sustainability academy logo
20240903-bnpparibas-csr-presentation-2024_page17_img5.png,a green background with a white border
What-contribution-do-banks-make-to-the-ecological-transition_page1_img1.jpeg,a long road with trees and snow on the sides
bnp_paribas_2023_climate_report_page2_img2.jpeg,a factory with smoke coming out of it
20240903-bnpparibas-csr-presentation-2024_page25_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page2_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page11_img12.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img31.png,a blue background with a white border
as_101_climate_risk_banks_en_page17_img1.jpeg,a dark blue and green abstract background
20240903-bnpparibas-csr-presentation-2024_page10_img16.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page10_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page10_img37.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page26_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page11_img15.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page11_img34.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page22_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page6_img2.png,bnparaisal com logo
20240903-bnpparibas-csr-presentation-2024_page7_img3.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page15_img6.png,a green background with a white border
as_101_climate_risk_banks_en_page5_img1.jpeg,a dark blue and green abstract background
20240903-bnpparibas-csr-presentation-2024_page16_img4.png,a green background with a white border
20240903-bnpparibas-csr-presentation-2024_page1_img2.png,the black and white logo
20240903-bnpparibas-csr-presentation-2024_page26_img13.png,a computer icon
bnp_paribas_2023_climate_report_page12_img1.jpeg,a painting of a snow covered mountain
20240903-bnpparibas-csr-presentation-2024_page11_img25.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page10_img13.png,a black background with a white and red flower
20240903-bnpparibas-csr-presentation-2024_page21_img6.png,the logo for the color wheel
20240903-bnpparibas-csr-presentation-2024_page14_img1.png,a black and white image of a black and white image of a black and white image of a black and
20240903-bnpparibas-csr-presentation-2024_page21_img5.jpeg,the sun shines over the mountains in meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor meteor
eib-group-2022-climate-bank-roadmap-progress-report_page29_img1.jpeg,a diagram showing the benefits of a green energy drink
